НВ;Стяжка для кабеля 4,8х360мм черная (100 шт) ДКС;упак.;;615;;1;;;;00-00000230;;;закупка;464;;;;;;Стяжка для кабеля 4,8х360мм черная (100 шт) ДКС;;;;;;;;;;;;
;Тройник компрессионный 25ПНД;шт.;;108;;1;т;пнд;;00-00000231;;;бух;89;;;;;;Тройник компрессионный 25ПНД;;;;;;;;;;;;
;Тройник компрессионный переходной 25ПНД / 1/2 нар;шт.;;98;;1;т;пнд;;00-00000232;;;бух;76;;;;;;Тройник компрессионный переходной 25ПНД / 1/2 нар;;;;;;;;;;;;
В;Труба ПНД (ПЭ-100) для систем водоснабжения 32 мм;м;;39;;1;тр;пнд;;00-00000235;;;закупка;28,95;;;;;;Труба ПНД (ПЭ-100) для систем водоснабжения 32 мм;;;;;;;;;;;;
В;Угол компрессионный латунный 25;шт.;;740;;1;У;пнд;латун;00-00000236;;;бух;650;;;;;;Угол компрессионный латунный 25;;;;;;;;;;;;
;Угол компрессионный латунный 32;шт.;;948;;1;у;пнд;латун;00-00000237;;;бух;440,65;;;;;;Угол компрессионный латунный 32;;;;;;;;;;;;
;Угол компрессионный переходной 90° 25 ПНД / 1/2 нар.;шт.;;46;;1;У;пнд;;00-00000238;;;материал;32,2;;;;;;Угол компрессионный переходной 90° 25 ПНД / 1/2 нар.;;;;;;;;;;;;
В;Угол компрессионный переходной 90° 25 ПНД / 3/4 внутр.;шт.;;68;;1;У;пнд;;00-00000239;;;бух;57;;;;;;Угол компрессионный переходной 90° 25 ПНД / 3/4 внутр.;;;;;;;;;;;;
;Угол компрессионный переходной 90° 32 ПНД / 1'' нар.;шт.;;92;;1;У;пнд;;00-00000240;;;бух;79;;;;;;Угол компрессионный переходной 90° 32 ПНД / 1'' нар.;;;;;;;;;;;;
НВ;"Штуцер пятипроходной 1""";шт.;;428;;1;;;;00-00000241;;;закупка;250;;;;;;"Штуцер пятипроходной 1""";;;;;;;;;;;;
;Насос фекальный DAB FEKA VS 1200M;шт.;1;34 849;34 849;1;;;;00-00000244;;;материал;24394,3;;;;;;Насос фекальный DAB FEKA VS 1200M;;;;;;;;;;;;
к;Хомут с дюбелем для трубы 50мм;шт.;;45;;1;;;;00-00000245;;;бух;36,81;;;;;;Хомут с дюбелем для трубы 50мм;;;;;;;;;;;;
к;Хомут с дюбелем для трубы 110мм;шт.;;99;;1;;;;00-00000246;;;бух;75,79;;;;;;Хомут с дюбелем для трубы 110мм;;;;;;;;;;;;
НВ;Теплоизоляция для труб Стенофлекс 54х13х2000 мм;шт.;;98;;1;;;;00-00000248;;;закупка;76;;;;;;Теплоизоляция для труб Стенофлекс 54х13х2000 мм;;;;;;;;;;;;
НВ;Греющий кабель пищевой, 3м;шт.;;3 200;;1;;х;;00-00000250;;;закупка;1435;;;;;;Греющий кабель пищевой, 3м;;;;;;;;;;;;
В;"Хомут сантехнический 1""(32-35мм) со шпилькой и дюбелем 2шт.";шт.;;59;;1;;;;00-00000252;;;стоимость;55;;;;;;"Хомут сантехнический 1""(32-35мм) со шпилькой и дюбелем 2шт.";;;;;;;;;;;;
;PPR Обвод 32;шт.;;124;;1;;ппр;;00-00000253;;;материал;86,8;;;;;;PPR Обвод 32;;;;;;;;;;;;
ВВ;PPR Обвод 20;шт.;;36;;1;;ппр;;00-00000254;;;материал;25,2;;;;;;PPR Обвод 20;;;;;;;;;;;;
