
00-00000398;Станция Топас 4 П 800                                       со скидкой;шт.;1;100800;90720;Топас;;4;;П;800;Топас;70560;15000;7500;12500;;0,95;0,95;2,5;4;1,5;2,6645;6,0125;;;;;4,92075;8,26875;500;
00-00000399;Станция Топас 5 С 800                                       со скидкой;шт.;1;102900;92610;Топас;;5;;С;800;Топас;72030;16000;7500;12500;;1,1;1,2;2,5;4;2,2;3,18;6,96;;;;;6,48;10,26;500;
00-00000400;Станция Топас 5 П 800                                       со скидкой;шт.;1;113300;101970;Топас;;5;;П;800;Топас;79310;16000;7500;12500;;1;1,2;2,6;4;2,2;3,152;6,96;;;;;6,272;10,08;500;
00-00000401;Станция Топас 5 С 1400                                       со скидкой;шт.;1;127300;114570;Топас;;5;;С;1400;Топас;89110;19000;7500;12500;;1,1;1,2;3,1;4;2,2;3,828;8,448;;;;;7,92;12,54;800;
00-00000402;Станция Топас 5 П 1400                                       со скидкой;шт.;1;141500;127350;Топас;;5;;П;1400;Топас;99050;19000;7500;12500;;1,1;1,2;3,1;4;2,2;3,828;8,448;;;;;7,92;12,54;800;
00-00000403;Станция Топас 6 С 800                                       со скидкой;шт.;1;106600;95940;Топас;;6;;С;800;Топас;74620;16000;7500;12500;;1,2;1,2;2,55;4;2,5;3,368;7,328;;;;;7,04;11;500;
00-00000404;Станция Топас 6 П 800                                       со скидкой;шт.;1;117600;105840;Топас;;6;;П;800;Топас;82320;16000;7500;12500;;1,1;1,2;2,6;4;2,4;3,288;7,208;;;;;6,72;10,64;500;
00-00000405;Станция Топас 6 С 1400                                       со скидкой;шт.;1;131200;118080;Топас;;6;;С;1400;Топас;91840;19000;7500;12500;;1,2;1;3,1;4;2;3,672;8,16;;;;;7,392;11,88;800;
00-00000406;Станция Топас 6 П 1400                                       со скидкой;шт.;1;147400;132660;Топас;;6;;П;1400;Топас;103180;19000;7500;12500;;1,2;1;3,1;4;2;3,672;8,16;;;;;7,392;11,88;800;
00-00000407;Станция Топас 8 С 800                                       со скидкой;шт.;1;129500;116550;Топас;;8;;С;800;Топас;90650;18000;8500;13500;;1,6;1,2;2,5;5;3,3;3,84;8,16;;;;;8,64;12,96;500;
00-00000408;Станция Топас 8 П 800                                       со скидкой;шт.;1;140700;126630;Топас;;8;;П;800;Топас;98490;18000;8500;13500;;1,6;1,2;2,6;5;3,5;3,968;8,448;;;;;8,96;13,44;500;
