																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00000405	Станция Топас 6 С 1400                                       со скидкой	шт.	1	131 200	118 080	Топас		6		С	1 400	Топас	91 840	19 000	7 500	12 500		1,20	1,00	3,10	4	2	3,67	8,16					7,39	11,88	800	
00-00000406	Станция Топас 6 П 1400                                       со скидкой	шт.	1	147 400	132 660	Топас		6		П	1 400	Топас	103 180	19 000	7 500	12 500		1,20	1,00	3,10	4	2	3,67	8,16					7,39	11,88	800	
00-00000407	Станция Топас 8 С 800                                       со скидкой	шт.	1	129 500	116 550	Топас		8		С	800	Топас	90 650	18 000	8 500	13 500		1,60	1,20	2,50	5	3,3	3,84	8,16					8,64	12,96	500	
00-00000408	Станция Топас 8 П 800                                       со скидкой	шт.	1	140 700	126 630	Топас		8		П	800	Топас	98 490	18 000	8 500	13 500		1,60	1,20	2,60	5	3,5	3,97	8,45					8,96	13,44	500	
00-00000409	Станция Топас 8 С 1400                                       со скидкой	шт.	1	146 100	131 490	Топас		8		С	1 400	Топас	102 270	21 000	8 500	13 500		1,60	1,20	3,10	5	3,3	4,61	9,89					10,56	15,84	800	
00-00000410	Станция Топас 8 П 1400                                       со скидкой	шт.	1	160 700	144 630	Топас		8		П	1 400	Топас	112 490	21 000	8 500	13 500		1,60	1,50	3,10	6	4,1	5,10	10,78					12,54	18,22	800	
00-00000411	Станция Топас 9 С 800                                       со скидкой	шт.	1	131 700	118 530	Топас		9		С	800	Топас	92 190	19 500	9 500	14 500		1,60	1,20	2,55	5	3,4	3,90	8,30					8,80	13,20	500	
00-00000412	Станция Топас 9 П 800                                       со скидкой	шт.	1	142 100	127 890	Топас		9		П	800	Топас	99 470	19 500	9 500	14 500		1,60	1,20	2,60	5	3,5	3,97	8,45					8,96	13,44	500	
00-00000413	Станция Топас 9 С 1400                                       со скидкой	шт.	1	150 700	135 630	Топас		9		С	1 400	Топас	105 490	22 500	9 500	14 500		1,60	1,20	3,10	5	3,3	4,61	9,89					10,56	15,84	800	
00-00000414	Станция Топас 9 П 1400                                       со скидкой	шт.	1	163 300	146 970	Топас		9		П	1 400	Топас	114 310	22 500	9 500	14 500		1,50	1,20	3,10	5	3,1	4,45	9,60					10,03	15,18	800	
00-00000415	Станция Топас 9 С 1400 Ус                                      со скидкой	шт.	1	172 100	154 890	Топас		9		С	1 400	Топас	120 470	22 500	9 500	14 500		1,80	1,40	3,10	6	4,3	5,26	11,06					13,07	18,88	800	
